"id","external_id","name","slug","image","created_at","updated_at","deleted_at","is_active","product_activity_group_id","description","rating_desc"
7,A03001,Day Hike,day-hike,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,1,,
8,A03004,Day Ride,day-ride,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,8,,
9,A03016,Range,range,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,6,,
11,A03002,Summit,summit,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,1,,
12,A03009,Tactical,tactical,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,6,,
13,A03005,Touring,touring,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,8,,
15,A03014,Trekking,trekking,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,4,,
1,A03006,Camping,camping,product-activity/camping-unisex.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,1,,
2,A03003,Climbing,climbing,product-activity/climbing-unisex.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,2,,
3,A03017,Combat,combat,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,6,,
5,A03007,Cycling,cycling,product-activity/cycling-unisex.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,7,,
6,A03013,Daily Wear,daily-wear,product-activity/daily-wear-unisex.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,3,,
10,A03011,Running & Training,running-&-training,product-activity/running-unisex.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,5,,
14,A03008,Travelling,travelling,product-activity/traveling-unisex.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,1,,
16,A03010,Water Sports,water-sports,product-activity/water-sport-unisex.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,9,,
19,A03020,Casual Sport,casual-sport,,2025-05-20 15:08:08.341 +0700,2025-05-20 15:08:08.939 +0700,,true,5,,
18,A03018,Hiking,hiking,"",2024-04-01 20:39:57.000 +0700,2024-04-01 20:40:00.000 +0700,,true,1,,
4,A03012,Commute,commute,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,4,,
20,A03021,Flexibility,flexibility,,2025-05-20 15:59:19.808 +0700,2025-05-20 15:59:20.845 +0700,,true,5,,
17,A03015,Daily Mission,daily-mission,"",2023-08-09 13:15:20.000 +0700,2025-10-28 10:20:54.920 +0700,,true,6,,
