"id","product_category_id","external_id","name","slug","image","created_at","updated_at","deleted_at","is_featured","sequence_number","is_active","image2","image_web"
92,3,C17,Bags Accessories,bags-accessories,,2026-03-04 11:01:44.894 +0700,2026-03-04 11:01:44.894 +0700,,,,true,,
12,1,A12,Gown,gown,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
90,2,B13,Trolley Bag,trolley-bag,,2024-11-20 16:53:05.605 +0700,2024-11-20 16:53:06.419 +0700,,,,true,,
91,7,C13,Manset,manset,,,,,,,,,
54,4,E17,Peralatan Climbing,climbing-equipment,product-sub-category/Climbing Equipment-long.png,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,false,,true,product-sub-category/Climbing Equipment.png,
14,2,B02,Shoulder Bag,shoulder-bag,product-category/936x138/tas-pundak-936x138.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,12,true,product-category/640x180/tas-pundak-640x180.jpg,product-category/640x640/tas-pundak-640x640.jpg
32,3,C09,Watches,watches,product-category/936x138/jamtangan-936x138.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,15,true,product-category/640x180/jamtangan-640x180.jpg,product-category/640x640/jamtangan-640x640.jpg
17,2,B05,Tas Pinggang,waist-bag-category,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
6,1,A06,Sweater,sweater,product-sub-category/Sweater-long.png,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,false,,true,product-sub-category/Sweater.png,
3,1,A03,Kemeja,shirt,product-sub-category/Shirt-long.png,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,false,,true,product-sub-category/Shirt.png,product-sub-category/shirt_web-1.webp
2,1,A02,Celana Pendek,shorts,product-sub-category/Shorts-long.png,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,false,,true,product-sub-category/Shorts.png,
33,3,C10,Sunglasses,sunglasses,product-category/936x138/kacamata-936x138.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,16,true,product-category/640x180/kacamata-640x180.jpg,product-category/640x640/kacamata-640x640.jpg
66,4,E29,Peralatan Emergency,emergency-equipment,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
52,4,E15,Fire Equipment,fire-equipment,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
38,4,E01,Sarung Tangan,gloves,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
41,4,E04,Hammock,hammock,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
34,3,C11,Bands,bands,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
31,3,C08,Ikat Pinggang,belts,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
27,3,C04,Aksesoris Gantungan,chain-accessories,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
28,3,C05,Aksesoris Gadget,gadget-accessories,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
29,3,C06,Aksesoris Dengan Grafis,graphic-accessories,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
30,3,C07,Perhiasan,jewelry,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
13,2,B01,Backpack,backpack,product-category/936x138/tas-936x138.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,9,true,product-category/640x180/tas-640x180.jpg,product-category/640x640/tas-640x640.jpg
8,1,A08,Vest,vest,product-category/936x138/rompi-936x138.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,14,true,product-category/640x180/rompi-640x180.jpg,product-category/640x640/rompi-640x640.jpg
35,3,C12,Tali Masker,masker-strap,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
37,3,C14,Album Musik,music-album,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
26,3,C02,Aksesoris Traveling,travel-accessories,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
5,1,A05,Jacket,jacket,product-category/936x138/jaket-936x138.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,7,true,product-category/640x180/jaket-640x180.jpg,product-sub-category/jacket_web.webp
25,3,C01,Dompet,wallet,product-category/936x138/dompet-936x138.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,13,true,product-category/640x180/dompet-640x180.jpg,product-category/640x640/dompet-640x640.jpg
9,1,A09,Baselayer,baselayer,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
7,1,A07,Jas Hujan,rainwear,product-sub-category/rainwear.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
11,1,A11,Coverall,safety-coverall,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
4,1,A04,Top,top,product-category/936x138/atasan-936x138.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,10,true,product-category/640x180/atasan-640x180.jpg,product-category/640x640/atasan-640x640.jpg
1,1,A01,Pants,pants,product-category/936x138/celana-936x138.jpg,2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,true,15,true,product-category/640x180/celana-640x180.jpg,product-sub-category/pants_web-1.webp
10,1,A10,Dalaman,underwear,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
20,2,B08,Cases,cases,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
22,2,B10,Tas Sepeda,cycling-bag,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
15,2,B03,Tas Duffle,duffle,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
21,2,B09,Tas Tangan,hand-bag,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
16,2,B04,Koper,luggage,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
19,2,B07,Tas Motor,motorcycle-bag,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
24,2,B12,Pistol Cover,pistol-cover,"",2023-04-19 12:27:51.542 +0700,2023-04-19 12:27:51.542 +0700,,,,true,,
